variant,block_label,repetition,block,stage,seconds
sync,fp16;blocks=36;matmul=4096,3,34,read,0.464692100
sync,fp16;blocks=36;matmul=4096,3,35,read,0.347543700
sync,fp16;blocks=36;matmul=4096,3,0,stage_copy,0.023268700
sync,fp16;blocks=36;matmul=4096,3,1,stage_copy,0.023039300
sync,fp16;blocks=36;matmul=4096,3,2,stage_copy,0.022579500
sync,fp16;blocks=36;matmul=4096,3,3,stage_copy,0.021843600
sync,fp16;blocks=36;matmul=4096,3,4,stage_copy,0.021464500
sync,fp16;blocks=36;matmul=4096,3,5,stage_copy,0.023568800
sync,fp16;blocks=36;matmul=4096,3,6,stage_copy,0.021498900
sync,fp16;blocks=36;matmul=4096,3,7,stage_copy,0.023118700
sync,fp16;blocks=36;matmul=4096,3,8,stage_copy,0.021598000
sync,fp16;blocks=36;matmul=4096,3,9,stage_copy,0.022069400
sync,fp16;blocks=36;matmul=4096,3,10,stage_copy,0.022284100
sync,fp16;blocks=36;matmul=4096,3,11,stage_copy,0.021778800
sync,fp16;blocks=36;matmul=4096,3,12,stage_copy,0.022036000
sync,fp16;blocks=36;matmul=4096,3,13,stage_copy,0.022138800
sync,fp16;blocks=36;matmul=4096,3,14,stage_copy,0.022137400
sync,fp16;blocks=36;matmul=4096,3,15,stage_copy,0.020821600
sync,fp16;blocks=36;matmul=4096,3,16,stage_copy,0.021714100
sync,fp16;blocks=36;matmul=4096,3,17,stage_copy,0.023758200
sync,fp16;blocks=36;matmul=4096,3,18,stage_copy,0.019785700
sync,fp16;blocks=36;matmul=4096,3,19,stage_copy,0.022054400
sync,fp16;blocks=36;matmul=4096,3,20,stage_copy,0.021360700
sync,fp16;blocks=36;matmul=4096,3,21,stage_copy,0.020643700
sync,fp16;blocks=36;matmul=4096,3,22,stage_copy,0.021351900
sync,fp16;blocks=36;matmul=4096,3,23,stage_copy,0.021743000
sync,fp16;blocks=36;matmul=4096,3,24,stage_copy,0.020392400
sync,fp16;blocks=36;matmul=4096,3,25,stage_copy,0.021258600
sync,fp16;blocks=36;matmul=4096,3,26,stage_copy,0.021209600
sync,fp16;blocks=36;matmul=4096,3,27,stage_copy,0.021319000
sync,fp16;blocks=36;matmul=4096,3,28,stage_copy,0.020994000
